index,acc,loss,time,val_acc,val_loss
208,0.998066666667,0.00672292755917,5.54275989532,0.9823,0.104816960395
209,0.998283333333,0.00644349120557,5.5203537941,0.9819,0.107237633992
210,0.998016666667,0.00678006699309,5.51271700859,0.9815,0.112314163583
211,0.99845,0.0057543986477,5.51891303062,0.9808,0.112052850145
212,0.998533333333,0.00537998229265,5.60674905777,0.9811,0.113221534971
213,0.998333333333,0.00644232472405,5.62577986717,0.9814,0.110740193303
214,0.998583333333,0.0053154937923,5.52875590324,0.9821,0.104483642361
215,0.9982,0.00600167689845,5.60559678078,0.9813,0.105529282482
216,0.9983,0.00604940019548,5.56789779663,0.9816,0.105995618207
217,0.998166666667,0.00639153132215,5.5403149128,0.9824,0.104413909474
218,0.998433333333,0.00542491441593,5.58716392517,0.9826,0.106887698451
219,0.998033333333,0.00718102743849,5.60339403152,0.9814,0.106446413251
220,0.9982,0.00700946850702,5.62021899223,0.9817,0.109663393785
221,0.998216666667,0.00737372040749,5.5293340683,0.9826,0.100570550006
222,0.99835,0.00629534106702,5.62024307251,0.9829,0.0986321133928
223,0.99865,0.00536954589188,5.62740397453,0.9823,0.0999204229199
224,0.998483333333,0.00602430198342,5.52891182899,0.9824,0.104077354231
225,0.998333333333,0.00594081636518,5.51402282715,0.9832,0.0989247692336
226,0.998633333333,0.00528875133023,5.60690593719,0.9823,0.101019280743
227,0.998816666667,0.0048862346448,5.51355314255,0.9838,0.098334054171
228,0.998616666667,0.00473530171439,5.60545992851,0.9823,0.102053150092
229,0.998366666667,0.00540830055252,5.58590698242,0.9815,0.107013268244
230,0.998716666667,0.00483641307801,5.60622000694,0.981,0.105942413653
231,0.998633333333,0.00554977823049,5.56878805161,0.9813,0.103259335306
232,0.998733333333,0.00500702718273,5.53002810478,0.983,0.0986796512694
233,0.998766666667,0.00503358338028,5.60203194618,0.9826,0.102381780774
234,0.998166666667,0.0063118156977,5.55367302895,0.9836,0.100453304442
235,0.99865,0.00517077418044,5.5464720726,0.9843,0.0960769526779
236,0.998866666667,0.00475104525685,5.55597400665,0.9831,0.101270003258
237,0.998566666667,0.00529476301745,5.54343914986,0.9827,0.102736909014
238,0.998833333333,0.00463117705658,5.53497505188,0.9833,0.102817168606
239,0.998983333333,0.0039754929021,5.52729105949,0.9829,0.10346468356
240,0.99875,0.00476029003039,5.52097415924,0.9834,0.101030354038
241,0.998633333333,0.00523852743208,5.61610603333,0.9836,0.102127584436
242,0.9986,0.00500799249858,5.53264498711,0.9821,0.107324819353
243,0.998783333333,0.00484553119168,5.57650399208,0.9829,0.105241328929
244,0.9987,0.00460964255035,5.51615405083,0.9823,0.10624898022
245,0.998566666667,0.00527661526576,5.52478885651,0.983,0.101739503194
246,0.998883333333,0.00457743136212,5.54500317574,0.9828,0.103788826173
247,0.99845,0.00582353817299,5.60456180573,0.9837,0.0977443786777
248,0.9987,0.00517716491595,5.52034878731,0.9834,0.102046359704
249,0.99865,0.00539625156671,5.5732729435,0.9828,0.108857433825
250,0.998816666667,0.00500777643174,5.5444920063,0.983,0.10390309176
251,0.9988,0.00464637950063,5.60512113571,0.9821,0.107590271553
252,0.99885,0.00440553063527,5.52416300774,0.9833,0.106417158412
253,0.9984,0.00635829754174,5.58559393883,0.9822,0.10735426257
254,0.998516666667,0.00541407521814,5.55181598663,0.9823,0.105253981894
255,0.998566666667,0.00561620946974,5.60363698006,0.983,0.107280962163
256,0.999033333333,0.00422922568396,5.54638195038,0.9834,0.0997745290732
257,0.998816666667,0.00445674639195,5.52563810349,0.982,0.109298911104
258,0.998883333333,0.00476763490587,5.51809501648,0.9831,0.110680849226
259,0.998716666667,0.00509994383901,5.52877688408,0.9821,0.105389355015
260,0.9986,0.00524247204885,5.51639509201,0.9824,0.107390706229
261,0.9988,0.00452003255486,5.52495408058,0.9832,0.106262658573
262,0.998733333333,0.00439976342022,5.56456708908,0.9841,0.10483897695
263,0.998783333333,0.00467347772792,5.53706693649,0.9842,0.104132921584
264,0.998483333333,0.00540912896395,5.51710295677,0.9831,0.106107649915
265,0.998516666667,0.00559150055051,5.53470301628,0.9829,0.110377488514
266,0.998633333333,0.00475105270743,5.52230501175,0.9825,0.10918585849
267,0.998816666667,0.00466390512884,5.53790998459,0.9823,0.10904752023
268,0.998983333333,0.00369794201106,5.51480507851,0.983,0.106710667678
269,0.9988,0.00526685779914,5.57040691376,0.9823,0.113055009251
270,0.99865,0.00521355541423,5.54099607468,0.9825,0.105060760942
271,0.99865,0.00504049053416,5.5680038929,0.9831,0.107556055268
272,0.998733333333,0.00462724780664,5.56321191788,0.9836,0.109074944902
273,0.998466666667,0.00564869260415,5.6049580574,0.9834,0.109551162109
274,0.998933333333,0.00453523732722,5.54681706429,0.9839,0.103971303003
275,0.998833333333,0.00414069416001,5.52876496315,0.9825,0.109824242403
276,0.998966666667,0.00408169161528,5.52075219154,0.9837,0.108342211709
277,0.99875,0.00506932567805,5.60669112206,0.9824,0.10738475982
278,0.998816666667,0.00472855102271,5.58634305,0.9822,0.110143763245
279,0.99845,0.00589078711346,5.61548495293,0.982,0.109873410718
280,0.998616666667,0.00464678183198,5.51929593086,0.9834,0.108483294937
281,0.998783333333,0.00492801191285,5.58406186104,0.983,0.106904767103
282,0.99905,0.00391132617369,5.55880403519,0.9841,0.108596801623
283,0.999083333333,0.00374091183767,5.60773396492,0.9833,0.106957348858
284,0.9988,0.00452151801437,5.53423309326,0.9843,0.107193631403
285,0.9989,0.00410740822554,5.51808094978,0.9835,0.10194083222
286,0.999,0.00367957539856,5.61013913155,0.9834,0.10315982267
287,0.9991,0.00398752000183,5.62673902512,0.9835,0.107122417533
288,0.998766666667,0.00449625076726,5.52902913094,0.9824,0.114424464351
289,0.999033333333,0.00380050973035,5.56138801575,0.9836,0.111881214572
290,0.998883333333,0.00439415965229,5.5187420845,0.9834,0.110360124056
291,0.99895,0.00412128819153,5.52617096901,0.9828,0.112722084685
292,0.99905,0.00387977808714,5.56730794907,0.9832,0.112394156592
293,0.99885,0.00427545653656,5.55656123161,0.9834,0.116859597636
294,0.99865,0.0051450021565,5.51756000519,0.9827,0.105518077591
295,0.99865,0.00480710994452,5.60769510269,0.9822,0.109577789797
296,0.9989,0.00405935617164,5.61963415146,0.982,0.115181348222
297,0.999033333333,0.00401654373854,5.61581587791,0.9822,0.114431345475
